experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,actor_class,fit_steps,direction_method,variant,source_n,target_n
P-E,AN,mc_raw,128,False,direction_norm,0.13035569927487559,0.12932993924129754,4,0.048879085833361466,0.2533205459099279,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,exact_score,0.0196613201349688,0.04759446575969618,4,-0.023762454700549246,0.0587433098585996,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,validation_score,0.04236991223081765,0.03563663880500136,4,0.012931677855847278,0.07742842505100649,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,validation_score_variance,0.7918877949894358,0.6248921388725364,4,0.37990558932403895,1.3802396651177595,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,validation_gradient_trace_variance,4.6018967500846175,1.1009757826498532,4,3.656031655223874,5.569370134775806,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,fixed_oracle_q_score_variance,0.39907588766819546,0.10578955858975589,4,0.3130937773363355,0.4850579980000554,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,fixed_oracle_q_gradient_trace_variance,4.51975504057639,1.0701875929570204,4,3.6013271670019886,5.498471820007233,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,curvature_min,0.84,0.0,4,0.84,0.84,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,curvature_max,0.8400000000000001,0.0,4,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,optimization_seconds,0.009811599971726537,0.0007483936480651361,4,0.009033425012603402,0.01029259990900755,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,direction_loss,-0.12990549196283066,0.1282019113767254,4,-0.25130829568575996,-0.04931642653906487,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,direction_steps,100.0,0.0,4,100.0,100.0,training_seed_or_data_batch,True,,,,,,
