condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
pg,102,91750,91136,89,1.9569440129613973
pg,102,104857,104448,102,1.9578551368344044
pg,102,117964,117760,115,1.9585444288386409
pg,102,131072,131072,128,1.959089894677112
pg,102,144179,143360,140,1.959494720735151
pg,102,157286,156672,153,1.9598608735644325
pg,102,170393,169984,166,1.9601620465533842
pg,102,183500,183296,179,1.9604206809749452
pg,102,196608,196608,192,1.9606408169116987
pg,102,209715,208896,204,1.9608130340039054
pg,102,222822,222208,217,1.9609775710969588
pg,102,235929,235520,230,1.9611192869553769
pg,102,249036,248832,243,1.9612434880239809
pg,102,262144,262144,256,1.9613529903071958
pg,103,0,0,0,0.38375999999999993
pg,103,13107,12288,12,1.1424503262334083
pg,103,26214,25600,25,1.783277925597416
pg,103,39321,38912,38,1.9250527437357374
pg,103,52428,52224,51,1.9479162618819057
pg,103,65536,65536,64,1.9536030519479723
pg,103,78643,77824,76,1.9557592151307295
pg,103,91750,91136,89,1.9570859987495663
pg,103,104857,104448,102,1.957974067303775
pg,103,117964,117760,115,1.9586429442637472
pg,103,131072,131072,128,1.959159519858345
pg,103,144179,143360,140,1.9595518805456151
pg,103,157286,156672,153,1.9599055727792243
pg,103,170393,169984,166,1.9602041188554922
pg,103,183500,183296,179,1.9604531737764683
pg,103,196608,196608,192,1.9606656808808218
pg,103,209715,208896,204,1.960836685128346
pg,103,222822,222208,217,1.9609976029930167
pg,103,235929,235520,230,1.9611371023165243
pg,103,249036,248832,243,1.9612580724033348
pg,103,262144,262144,256,1.961364345145383
pg,104,0,0,0,0.3837599999999998
pg,104,13107,12288,12,1.1587293380056578
pg,104,26214,25600,25,1.7899337254468262
pg,104,39321,38912,38,1.9267124326202216
pg,104,52428,52224,51,1.9485455674777679
pg,104,65536,65536,64,1.954024902815386
pg,104,78643,77824,76,1.9560695741266538
pg,104,91750,91136,89,1.957302951354212
pg,104,104857,104448,102,1.9581423705534777
pg,104,117964,117760,115,1.9587749706816084
pg,104,131072,131072,128,1.9592802706678256
pg,104,144179,143360,140,1.959664140674704
pg,104,157286,156672,153,1.9600054352997869
pg,104,170393,169984,166,1.9602883297532194
pg,104,183500,183296,179,1.9605287681321173
pg,104,196608,196608,192,1.9607343195598523
pg,104,209715,208896,204,1.960897597633756
pg,104,222822,222208,217,1.9610497048586089
pg,104,235929,235520,230,1.9611844234514972
pg,104,249036,248832,243,1.9613034953420283
pg,104,262144,262144,256,1.961407729388349
pg,105,0,0,0,0.38375999999999993
pg,105,13107,12288,12,1.1166204682808745
pg,105,26214,25600,25,1.7684997179153434
pg,105,39321,38912,38,1.921453987290051
pg,105,52428,52224,51,1.9467742882232988
pg,105,65536,65536,64,1.953010363258777
pg,105,78643,77824,76,1.9553508281829515
pg,105,91750,91136,89,1.9567798372447003
pg,105,104857,104448,102,1.9577384032152771
pg,105,117964,117760,115,1.9584521684135272
pg,105,131072,131072,128,1.9590104167768232
pg,105,144179,143360,140,1.9594283602017541
pg,105,157286,156672,153,1.9598016439709807
pg,105,170393,169984,166,1.9601081989303288
pg,105,183500,183296,179,1.9603647060805978
pg,105,196608,196608,192,1.9605837993681672
