condition,seed,scene,reset_seed,action_seed,success,success_steps,episode_steps,restricted_steps,end_reason,J,final_coverage,collision_pairs_total,path_length
mappo,40,67,2578540583,408210173,1,113,113,113,success,-28.286228981930456,1.0,15.0,19.670275015293406
mappo,40,68,3978430092,3911997970,1,36,36,36,success,-17.257293035770598,1.0,6.0,9.01610275017476
mappo,40,69,2798237815,1431979650,1,27,27,27,success,-16.05430621902615,1.0,3.0,6.5745879268032015
mappo,40,70,2992858584,1812674679,1,61,61,61,success,-38.576231427466205,1.0,7.0,11.529489203246767
mappo,40,71,1637406924,2462028667,1,38,38,38,success,-17.984054734265662,1.0,3.0,8.643941780852696
mappo,40,72,4201319692,1571892780,1,45,45,45,success,-15.592066620292067,1.0,3.0,8.293178428082134
mappo,40,73,79011899,1388970493,1,53,53,53,success,-19.89176956951775,1.0,3.0,11.05389606953037
mappo,40,74,2431549537,1248286508,1,18,18,18,success,-7.645993402284478,1.0,1.0,4.201261894270934
mappo,40,75,1221176477,2883642853,1,40,40,40,success,-20.35988213693587,1.0,6.0,11.143014394631102
mappo,40,76,555998048,1178830039,1,35,35,35,success,-10.636102519050464,1.0,0.0,6.938905461531114
mappo,40,77,3231626248,577494740,1,91,91,91,success,-40.10825977536771,1.0,18.0,21.36148280496382
mappo,40,78,2185936161,376249926,1,40,40,40,success,-16.848117430992012,1.0,3.0,8.326870260100794
mappo,40,79,2990187134,1915751243,1,68,68,68,success,-28.776366795287082,1.0,7.0,16.381219209527575
mappo,40,80,3400241984,751917057,1,34,34,34,success,-23.089624841010043,1.0,10.0,8.36070494843735
mappo,40,81,599700480,1249187977,1,16,16,16,success,-7.149982413589997,1.0,1.0,3.8541092599090394
mappo,40,82,3070578233,1520211238,1,54,54,54,success,-22.45429797028726,1.0,1.0,12.39519720687881
mappo,40,83,1332271383,3974459268,1,38,38,38,success,-20.77109154247661,1.0,3.0,10.226437113238205
mappo,40,84,1070320651,3420935515,1,30,30,30,success,-18.75926040509966,1.0,1.0,7.811515158424406
mappo,40,85,3263269926,4086004603,1,32,32,32,success,-17.513126508862033,1.0,3.0,7.39546441793202
mappo,40,86,646738645,4146759719,1,22,22,22,success,-10.468989706852906,1.0,0.0,4.809765274112561
mappo,40,87,4008916653,744146223,1,77,77,77,success,-18.345109297056496,1.0,7.0,14.315322183733025
mappo,40,88,3151631878,72488233,1,106,106,106,success,-39.539908804364494,1.0,5.0,23.649316954599833
mappo,40,89,3486087193,3490469547,1,31,31,31,success,-21.122561597479336,1.0,4.0,7.917998108717206
mappo,40,90,581074453,4123113042,1,40,40,40,success,-19.39724624597586,1.0,5.0,10.743269871130908
mappo,40,91,1868285834,1928166897,1,54,54,54,success,-38.17892503307161,1.0,9.0,14.937727532298032
mappo,40,92,3655773970,1790426953,1,58,58,58,success,-28.098501556889104,1.0,12.0,12.650189497044002
mappo,40,93,672939204,2694586893,1,24,24,24,success,-7.885140557198114,1.0,1.0,5.80050747339266
mappo,40,94,1647948350,2667715277,1,29,29,29,success,-14.963833243698579,1.0,4.0,6.531826136230742
mappo,40,95,786704510,1194950294,1,25,25,25,success,-9.147671000745667,1.0,1.0,5.6853017374065535
mappo,40,96,4203277430,3034181593,1,27,27,27,success,-21.797855309260427,1.0,6.0,8.220637234260174
mappo,40,97,3623062434,1577268481,1,29,29,29,success,-11.54362566118111,1.0,1.0,6.490550428728405
mappo,40,98,1083982137,2281292113,1,70,70,70,success,-17.037086451731366,1.0,0.0,13.596216502357018
mappo,40,99,3668580306,4258482137,1,22,22,22,success,-12.253539969934513,1.0,0.0,5.300351716107791
