round,source_steps,accepted,candidates,direction_pass,direction_score,train_J,critic_mse,train_value_target,explained_variance,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,policy_step_kl,policy_entropy,update_seconds,method,seed,source_steps_total,train_discounted_return
63,208000,True,1,,,-123.21604251861572,891.316650390625,-123.2160415649414,-1.0013580322265625e-05,,0.00018064214964397252,2.5669896785984747e-05,9.775679791346192e-05,0.000341570470482111,0.0,0.00013761543959844857,1.599455714225769,50.24503629980609,AN,40,208000,-123.21604251861572
64,211200,True,1,,,-119.39316701889038,1048.3427734375,-119.3931655883789,-9.655952453613281e-06,,0.00021426600869745016,4.1260220314143226e-05,0.00014332332648336887,0.0012828735634684563,0.0,0.00018526011263020337,1.5982803106307983,53.305487600155175,AN,40,211200,-119.39316701889038
65,214400,True,1,,,-122.9828462600708,1523.4559326171875,-122.98284912109375,-5.0067901611328125e-06,,0.0001132815596065484,2.9704682674491778e-05,0.00013555798796005547,0.0003848210908472538,0.0,7.661947893211618e-05,1.5986175537109375,50.82998659973964,AN,40,214400,-122.9828462600708
66,217600,True,1,,,-131.8862829208374,2446.5576171875,-131.88629150390625,-9.179115295410156e-06,,0.000248212629230693,4.297827399568632e-05,0.00014839308278169483,0.0004584859125316143,0.0,0.00020152245997451246,1.600091814994812,52.40656579984352,AN,40,217600,-131.8862829208374
67,220800,True,1,,,-124.02986335754395,1274.2857666015625,-124.02986145019531,-6.67572021484375e-06,,0.00016944462549872696,3.269164517405443e-05,0.00010607895092107356,0.0003316090442240238,0.0,0.00013165982090868056,1.6003321409225464,52.877138200215995,AN,40,220800,-124.02986335754395
68,224000,True,1,,,-117.35156536102295,1037.4678955078125,-117.3515625,-5.125999450683594e-06,,0.0002282176137669012,1.7945039871847257e-05,7.092589657986537e-05,0.00032401131466031075,0.0,0.00019776947738137096,1.5988759994506836,51.88406140031293,AN,40,224000,-117.35156536102295
69,227200,True,1,,,-126.0766978263855,1061.4534912109375,-126.07670593261719,-8.821487426757812e-06,,0.00022751545475330204,4.485817044042051e-05,0.00015612486458849162,0.0006416551768779755,0.0,0.00020929468155372888,1.5986440181732178,51.73135680006817,AN,40,227200,-126.0766978263855
70,230400,True,1,,,-130.07815790176392,1451.231201171875,-130.07815551757812,-3.5762786865234375e-06,,4.694956078310497e-05,4.037347480334574e-06,1.636206070543267e-05,0.00010914006270468235,0.0,4.5394386688712984e-05,1.5991517305374146,50.50211409991607,AN,40,230400,-130.07815790176392
71,233600,True,1,,,-124.18653059005737,1501.3402099609375,-124.18653106689453,-4.291534423828125e-06,,0.00020370677520986646,4.401623300509527e-05,0.00016519440396223217,0.0006114128045737743,0.0,0.00016065739328041673,1.5998533964157104,44.37748620007187,AN,40,233600,-124.18653059005737
72,236800,True,1,,,-124.61071538925171,1059.935302734375,-124.61071014404297,-7.3909759521484375e-06,,0.00010708801710279658,1.8268905478180386e-05,7.51861953176558e-05,0.000276811420917511,0.0,9.216715989168733e-05,1.5987807512283325,36.22416489990428,AN,40,236800,-124.61071538925171
73,240000,True,1,,,-126.80726718902588,1539.59228515625,-126.80726623535156,-3.2186508178710938e-06,,0.0001407815288985148,1.877623435575515e-05,7.675288361497223e-05,0.00031941384077072144,0.0,0.00012043162132613361,1.598615050315857,31.68871399993077,AN,40,240000,-126.80726718902588
74,243200,True,1,,,-121.3054084777832,861.3336791992188,-121.30541229248047,-3.4570693969726562e-06,,0.00035879487404599786,6.0598747950280085e-05,0.00020873421453870833,0.0005894019268453121,0.0,0.00028112358995713294,1.600508689880371,30.445397599600255,AN,40,243200,-121.3054084777832
