method,seed,requested_kl,variant,check_episodes,repeats,candidate_p_0,candidate_p_1,actual_kl,exact_return_gain,return_class,direction_gate_applicable,return_accept_rate,return_false_accept_rate,return_false_reject_rate,all_zero_pair_rate,return_check_steps,direction_check_steps,exact_direction_score,direction_accept_rate,direction_false_accept_rate,direction_false_reject_rate,reject_positive_return_rate
DA,1016,0.0003,near_zero,512,100,0.3000012729007656,0.7000010088328087,2.997008922102896e-12,1.987679912773821e-06,positive,False,1.0,,0.0,1.0,1024,0,,,,,
AN,1017,0.0003,original,8,100,0.3010036648487698,0.7143320503829497,0.0003000000000000176,0.02625468721720725,positive,True,0.88,,0.12,0.7,16,8,0.06601665675223221,0.57,,0.43000000000000005,0.43000000000000005
AN,1017,0.0003,original,32,100,0.3010036648487698,0.7143320503829497,0.0003000000000000176,0.02625468721720725,positive,True,0.74,,0.26,0.29,64,32,0.06601665675223221,0.74,,0.26,0.26
AN,1017,0.0003,original,128,100,0.3010036648487698,0.7143320503829497,0.0003000000000000176,0.02625468721720725,positive,True,0.74,,0.26,0.02,256,128,0.06601665675223221,0.83,,0.17000000000000004,0.17000000000000004
AN,1017,0.0003,original,512,100,0.3010036648487698,0.7143320503829497,0.0003000000000000176,0.02625468721720725,positive,True,0.95,,0.050000000000000044,0.0,1024,512,0.06601665675223221,0.96,,0.040000000000000036,0.040000000000000036
AN,1017,0.0003,reversed,8,100,0.29899825023889215,0.6852657162904171,0.00030556864506025167,-0.024286761026384773,negative,True,0.79,0.79,,0.71,16,8,-0.20857411340495347,0.18,0.18,,
AN,1017,0.0003,reversed,32,100,0.29899825023889215,0.6852657162904171,0.00030556864506025167,-0.024286761026384773,negative,True,0.58,0.58,,0.26,64,32,-0.20857411340495347,0.01,0.01,,
AN,1017,0.0003,reversed,128,100,0.29899825023889215,0.6852657162904171,0.00030556864506025167,-0.024286761026384773,negative,True,0.33,0.33,,0.02,256,128,-0.20857411340495347,0.0,0.0,,
AN,1017,0.0003,reversed,512,100,0.29899825023889215,0.6852657162904171,0.00030556864506025167,-0.024286761026384773,negative,True,0.12,0.12,,0.0,1024,512,-0.20857411340495347,0.0,0.0,,
AN,1017,0.0003,near_zero,8,100,0.3000001002708391,0.7000014536165052,3.0281538420881455e-12,2.531114638215648e-06,positive,True,1.0,,0.0,1.0,16,8,1.372882572057602e-05,0.76,,0.24,0.24
AN,1017,0.0003,near_zero,32,100,0.3000001002708391,0.7000014536165052,3.0281538420881455e-12,2.531114638215648e-06,positive,True,1.0,,0.0,1.0,64,32,1.372882572057602e-05,0.92,,0.07999999999999996,0.07999999999999996
AN,1017,0.0003,near_zero,128,100,0.3000001002708391,0.7000014536165052,3.0281538420881455e-12,2.531114638215648e-06,positive,True,1.0,,0.0,0.99,256,128,1.372882572057602e-05,0.98,,0.020000000000000018,0.020000000000000018
AN,1017,0.0003,near_zero,512,100,0.3000001002708391,0.7000014536165052,3.0281538420881455e-12,2.531114638215648e-06,positive,True,1.0,,0.0,1.0,1024,512,1.372882572057602e-05,1.0,,0.0,0.0
SA,1017,0.0003,original,8,100,0.30100510637792327,0.7143319850639188,0.0003000000000000011,0.026255005913142893,positive,True,0.88,,0.12,0.7,16,8,0.06604165776423696,0.57,,0.43000000000000005,0.43000000000000005
