target,seed,n_agents,type0_probability,rho,source_dataset_sha256,source_error,target_error,direction_shift,coverage_kappa,neighbor_variation,shift_bound,transport_bound,mechanism_transport_bound,bound_holds,team_return,return_per_agent
composition_0.3,1014,4,0.3,0.7,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,0.003061928444972396,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.003144706492290712,0.18120148951308,True,1.04616,0.26154
composition_0.9,1014,4,0.9,0.7,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,0.0024404611967393463,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.003097647408697084,0.18084310161494402,True,0.9626400000000004,0.2406600000000001
strength_0.0,1014,4,0.6,0.0,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,0.06435323706719759,0.06547968,1.0,0.7,0.48999999999999994,0.06769462162072905,0.49602711515183007,True,0.5760000000000001,0.14400000000000002
strength_0.35,1014,4,0.6,0.35,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,0.015815908842274483,0.01636992000000001,1.0,0.35,0.12249999999999998,0.017486601119040213,0.12552276788459074,True,0.7675200000000001,0.19188000000000002
strength_1.4,1014,4,0.6,1.4,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,0.06664296416750515,0.06547968000000001,1.0,0.7,0.48999999999999994,0.06769462162072905,0.49602711515183007,True,1.3420800000000002,0.33552000000000004
source,1015,4,0.6,0.7,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.00040111805977859083,0.0,1.0,0.0,0.0,0.00040111805977859083,0.00040111805977859083,True,0.9590400000000001,0.23976000000000003
agents_2,1015,2,0.6,0.7,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.00040111805977859083,0.0,1.0,0.0,0.0,0.00040111805977859083,0.00040111805977859083,True,0.47952000000000006,0.23976000000000003
agents_6,1015,6,0.6,0.7,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.00040111805977859083,0.0,1.0,0.0,0.0,0.00040111805977859083,0.00040111805977859083,True,1.4385600000000003,0.23976000000000006
agents_8,1015,8,0.6,0.7,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.00040111805977859083,0.0,1.0,0.0,0.0,0.00040111805977859083,0.00040111805977859083,True,1.9180800000000002,0.23976000000000003
composition_0.3,1015,4,0.3,0.7,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.0011688996741351415,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.005912758541505298,0.19935730607871877,True,1.04616,0.26154
composition_0.9,1015,4,0.9,0.7,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.005305973800321186,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.0056143710741387055,0.197606126960258,True,0.9626400000000004,0.2406600000000001
