experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,forward_kl_exact,0.0001553078669617642,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,old_new_kl,5.729416953030898e-05,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,direction_realization_residual,0.03165139598227126,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,seconds,0.0007209000177681446,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,learned_q_0,0.0028363028342749024,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,learned_q_1,0.3495068919309249,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,candidate_p_0,0.3049298339299786,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,candidate_p_1,0.7048839726460479,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,10,,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,10,,False,actual_return_gain,0.1752369999469524,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,10,,False,realized_path_derivative,0.12041583344812909,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,10,,False,old_new_kl,0.009272984381645564,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,10,,False,candidate_p_0,0.3661782609020628,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,10,,False,candidate_p_1,0.7587700686432018,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,100,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,100,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,100,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,100,AN,False,actual_return_gain,0.018054223778323164,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,100,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,100,AN,False,projected_direction_derivative,0.1700202924340823,,1,,,training_seed_or_data_batch,True
