condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J,mean_reward,mean_coverage,tail_coverage,tail_all_covered,J_se,coverage_se,distance_se,mean_reward_se,mean_coverage_se,tail_coverage_se,tail_all_covered_se
ippo,40,2500000,2499200,1024,0.13171076835208853,0.546142578125,0.1298828125,0.13797851562500002,0.06898925781250001,-29.68026325901016,-0.4237108717226715,0.42561523437500004,0.5218505859375,0.1134765625,0.3619757459100524,0.00872564070968177,0.0028053311695574175,0.005651785300177728,0.004239312308616702,0.005545323696586801,0.004202999820472641
ippo,40,3000000,3000000,1024,0.13678901361908702,0.50341796875,0.0888671875,0.107236328125,0.0536181640625,-29.70487434333668,-0.423951515775568,0.39481445312499996,0.488505859375,0.0805078125,0.3503839124599255,0.008758714606118918,0.0028138322158799333,0.00545187677364213,0.00379290779773461,0.0049656175154795075,0.0031510606798471888
ippo,40,3500000,3499200,1024,0.12041674304104696,0.61865234375,0.1982421875,0.127587890625,0.0637939453125,-28.116895483070742,-0.3975601622481377,0.4831396484375,0.5976416015624999,0.17677734375,0.35783361657126844,0.008487249709684373,0.002689292793300064,0.005528034479629357,0.004297152670344166,0.005520596683915069,0.005419335843897158
ippo,40,4000000,4000000,1024,0.12517096181173845,0.622314453125,0.2265625,0.127255859375,0.0636279296875,-28.875419527126432,-0.4097905032556731,0.47794433593749996,0.5974365234375001,0.19154296875000001,0.3894371131691192,0.008894153572254346,0.0030821903832124174,0.006121864696448448,0.0046782385828632155,0.006025035930651473,0.00585643506069798
ippo,40,4500000,4499200,1024,0.12719313882525746,0.5693359375,0.1376953125,0.14315429687499998,0.07157714843749999,-29.42224419479987,-0.4188133472402422,0.4513623046875,0.5542480468750001,0.13953125,0.4006006985825813,0.008591682160213282,0.0029669278861181383,0.0062631871082712235,0.0042776600198352124,0.005513731189461548,0.004557717346758121
ippo,40,5000000,5000000,1024,0.12436655932384011,0.60595703125,0.1650390625,0.1246875,0.06234375,-28.4149714648467,-0.4029496700635142,0.47302001953124995,0.5830908203124999,0.16519531250000002,0.3798016287120391,0.008447504687101318,0.0029954164788136843,0.005962051519197284,0.00441151453259193,0.005627968471922302,0.005167455752314517
ippo,40,5500000,5499200,1024,0.12190525136130848,0.603271484375,0.18359375,0.10524414062500001,0.052622070312500005,-28.28058138574336,-0.39991324268904727,0.46569091796875,0.576669921875,0.15876953124999998,0.37752370173640293,0.008746635894077905,0.0028625376536202127,0.005870998855394657,0.00446271953865454,0.005720085035852318,0.004967634280394345
ippo,40,6000000,6000000,1024,0.13159381467666748,0.571044921875,0.1533203125,0.124912109375,0.0624560546875,-29.42408451540819,-0.4193298819435347,0.4404052734375,0.5447705078125,0.13544921875,0.38320026359387943,0.008705746098637637,0.0030338017302716505,0.005983391841305792,0.004493695584869204,0.005741450585344054,0.004633104614882804
ippo,40,6500000,6499200,1024,0.12894592435795985,0.569580078125,0.1435546875,0.12962890625,0.064814453125,-29.195553927682607,-0.41615337487506854,0.438232421875,0.539560546875,0.12451171875000001,0.3864517004435434,0.008689883438704384,0.0029222486834269384,0.0060277084026825675,0.004309265707292025,0.0056519277673629815,0.004421874364157783
ippo,40,7000000,7000000,1024,0.12682735963514077,0.574462890625,0.15234375,0.10727539062500001,0.053637695312500004,-28.965541828619166,-0.41053685082171515,0.43755859375,0.546162109375,0.128046875,0.3535891305323341,0.008874925598989796,0.002885622527146708,0.005478235851907249,0.004332362314526751,0.005472274217910444,0.0045796481553198294
