experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
T-L,AN,mc_learned_baseline,False,source_steps_direction_check,154624.0,0.0,10,154624.0,154624.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,source_steps_monitor,30200.0,0.0,10,30200.0,30200.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,budget,262144.0,0.0,10,262144.0,262144.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,unused_budget,8.0,0.0,10,8.0,8.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,updates,151.0,0.0,10,151.0,151.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,accepted_updates,126.9,4.794672969962486,10,124.2,129.7,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,direction_rejections,24.1,4.794672969962486,10,21.3,26.8,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,final_source_return_diagnostic,1.0258912431995884,0.005637605481852463,10,1.0226512367217433,1.0287602497180812,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,best_source_empirical_monitor_return,1.0380000000000003,0.004000000000000022,10,1.0356,1.0404000000000002,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,seconds,6.150782830012031,0.09987653885553191,10,6.092918085785931,6.209957169516128,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,source_steps_total,262136.0,0.0,10,262136.0,262136.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,source_steps_training,38656.0,0.0,10,38656.0,38656.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,source_steps_critic,38656.0,0.0,10,38656.0,38656.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,source_steps_direction_check,154624.0,0.0,10,154624.0,154624.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,source_steps_monitor,30200.0,0.0,10,30200.0,30200.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,budget,262144.0,0.0,10,262144.0,262144.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,unused_budget,8.0,0.0,10,8.0,8.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,updates,151.0,0.0,10,151.0,151.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,accepted_updates,130.3,5.5387523665332585,10,127.3,133.7025,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,direction_rejections,20.7,5.538752366533259,10,17.2975,23.7,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
