experiment,method,label,data_seed,dataset_sha256,sample_episodes,source_steps_total,source_steps_training,source_steps_validation,direction_error,direction_norm,exact_score,validation_score,validation_score_variance,validation_gradient_trace_variance,fixed_oracle_q_score_variance,fixed_oracle_q_gradient_trace_variance,curvature_min,curvature_max,optimization_seconds,direction_loss,direction_steps,q_bound,q_coefficient_0,q_coefficient_1
P-E,AN,exact_advantage,1000,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,2048,2548,2048,500,0.00041477394709404393,0.06959789043684611,0.0661132260529059,0.09530424013520956,0.24088780731916537,3.111481490550392,0.24590288604890387,3.1196751665258953,0.84,0.8400000000000001,0.08550179982557893,-0.06971308250929428,100,5.0,0.027513583786576895,0.3709263910699881
P-E,SA,exact_advantage,1000,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,2048,2548,2048,500,0.0003649740970549421,0.0675551691925074,0.06616302590294498,0.09497593992132246,0.2342182557230156,3.2344414507261665,0.2544492187411684,3.2288178602333204,0.36,1.9599999999999997,0.0852920999750495,-0.06877068257686357,100,5.0,0.027715365993129133,0.3654120137197131
P-E,AN,mc_raw,1000,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,2048,2548,2048,500,0.0006409648300362555,0.07354178037088704,0.06588703516996369,0.09403686324502862,0.29084267322264,3.4620861783202077,0.2821353912346353,3.4732892836062916,0.84,0.8400000000000001,0.08703890023753047,-0.07338877482297133,100,5.0,0.025098154207281936,0.3814397540873379
P-E,SA,mc_raw,1000,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,2048,2548,2048,500,0.0005330599215673461,0.07144764608975555,0.06599494007843258,0.09379118422174111,0.28297200856982624,3.684576455788415,0.2966145490280332,3.6694690376744195,0.36,1.9599999999999997,0.0847967998124659,-0.07239534606011847,100,5.0,0.02528541146045822,0.3759454320384219
P-E,AN,exact_advantage,1001,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,2048,2548,2048,500,0.0005451408975497402,0.07659775679303263,0.06598285910245019,0.07847131461129266,0.47130809735098744,4.514566472404295,0.4240687266451923,4.53107495644565,0.84,0.8400000000000001,0.08416490023955703,-0.07688484603688059,100,5.0,0.03986552382051853,0.3884844520917096
P-E,SA,exact_advantage,1001,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,2048,2548,2048,500,0.0006434164175159794,0.07815664826425074,0.06588458358248396,0.07842035098521646,0.4814988455223479,4.8924112217326305,0.44797010883889166,4.86749151492582,0.36,1.9599999999999997,0.08082020003348589,-0.07766198930568885,100,5.0,0.041394760442059364,0.39233960291476777
P-E,AN,mc_raw,1001,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,2048,2548,2048,500,0.001000149386381819,0.08027992237243474,0.06552785061361811,0.0914814524163006,0.5981244108158935,5.293124985318414,0.5173516164975367,5.3176051024379065,0.84,0.8400000000000001,0.08991400012746453,-0.08067905234397599,100,5.0,0.03203113943622061,0.39824811905859925
P-E,SA,mc_raw,1001,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,2048,2548,2048,500,0.0011275446694294358,0.08182197574367793,0.06540045533057047,0.09152617275047342,0.6102155468131029,5.802617805651216,0.5482685957541619,5.756828977900833,0.36,1.9599999999999997,0.08064169995486736,-0.08148992244911513,100,5.0,0.033356456380172095,0.4019992800733024
P-E,AN,exact_advantage,1002,0bfd590baad43a6530efea83e5d70fd21a165528b1ca88576a8c1d82312ed156,2048,2548,2048,500,0.0007025813474357275,0.07862365752541942,0.06582541865256422,0.07784939328666815,0.48563486057054905,4.866118941097387,0.3895296671808427,4.871624622376345,0.84,0.8400000000000001,0.08557150000706315,-0.07812012319283525,100,5.0,0.09019126136923251,0.3880416791214072
P-E,SA,exact_advantage,1002,0bfd590baad43a6530efea83e5d70fd21a165528b1ca88576a8c1d82312ed156,2048,2548,2048,500,0.0009144752198794563,0.08182819675505214,0.06561352478012049,0.07726726723322772,0.49915890240056576,5.135634549289712,0.41024901882140385,5.129901302866921,0.36,1.9599999999999997,0.08068320015445352,-0.07972397605331283,100,5.0,0.08648049744661554,0.39670091456714385
P-E,AN,mc_raw,1002,0bfd590baad43a6530efea83e5d70fd21a165528b1ca88576a8c1d82312ed156,2048,2548,2048,500,0.001564665349779537,0.08520360531363323,0.06496333465022038,0.0875141494854762,0.6216910110426483,5.5488281245264535,0.4527643795025741,5.558760725863676,0.84,0.8400000000000001,0.08417610032483935,-0.08486180355183992,100,5.0,0.10455505215605684,0.4022026021299644
P-E,SA,mc_raw,1002,0bfd590baad43a6530efea83e5d70fd21a165528b1ca88576a8c1d82312ed156,2048,2548,2048,500,0.0018533876850363401,0.08838949715811967,0.0646746123149636,0.08702663987447815,0.637878615034414,5.904851833177386,0.47894517264758407,5.893956065021998,0.36,1.9599999999999997,0.08068489981815219,-0.08656059961431414,100,5.0,0.10095872530110533,0.4105860165039208
P-E,AN,exact_advantage,1003,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,2048,2548,2048,500,0.00011678763728563726,0.06661342663018137,0.06641121236271429,0.08450358641324035,0.3068593788952455,3.2832490433680013,0.29583496667814146,3.2772833716838177,0.84,0.8400000000000001,0.0840332000516355,-0.06638579901372971,100,5.0,0.07845885942799585,0.3578625930907158
