experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-E,AN,mc_raw,128,False,fixed_oracle_q_score_variance,0.4050907372226358,0.05484456740289366,20,0.38217442588059475,0.4280005640706608,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,fixed_oracle_q_gradient_trace_variance,4.347070418869183,0.5456023281521774,20,4.117857955950275,4.591044564897178,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,curvature_min,0.8400000000000001,1.1390647892519134e-16,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,curvature_max,0.8400000000000001,0.0,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,optimization_seconds,0.00808136009145528,0.0005424065994650211,20,0.007869792866986245,0.008335805357783102,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,direction_loss,-0.09729372735505068,0.07991311588060421,20,-0.13346638687736953,-0.06656474113859702,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,q_coefficient_0,0.07853622775209639,0.19687749411658387,20,-0.006858880856874211,0.16297472846628736,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,q_coefficient_1,0.37695494374989896,0.15310839735674336,20,0.3143071376408197,0.44621040370689613,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,source_steps_total,628.0,0.0,20,628.0,628.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,source_steps_training,128.0,0.0,20,128.0,128.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,direction_error,0.025821153678858576,0.02965439658446008,20,0.014545075930286271,0.039624858409519036,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,direction_norm,0.10194465643039119,0.08793794492887258,20,0.06743646665579034,0.14115820100280663,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,exact_score,0.04070684632114134,0.029654396584460077,20,0.026903141590480864,0.051982924069713644,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,validation_score,0.04043658167437074,0.03021460491276383,20,0.0276026374350161,0.05335756456431963,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,validation_score_variance,0.613685474193414,0.5685243498672056,20,0.3886868757708383,0.8699217372473572,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,validation_gradient_trace_variance,4.712807891409124,0.5658348648848095,20,4.470853483802355,4.959240916810672,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,fixed_oracle_q_score_variance,0.42844914418879465,0.05874765070063967,20,0.4038881740169211,0.45310458089325933,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,fixed_oracle_q_gradient_trace_variance,4.675192220119044,0.5899435452481282,20,4.430561001342416,4.9333038275276415,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,curvature_min,0.36000000000000004,5.695323946259567e-17,20,0.36000000000000004,0.36000000000000004,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,curvature_max,1.9599999999999997,0.0,20,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,optimization_seconds,0.008215630054473877,0.00115679437587068,20,0.007828108574030922,0.008788680965662933,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,direction_loss,-0.09943535724382216,0.08353443214803996,20,-0.13677947656014822,-0.0669733744100591,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,q_coefficient_0,0.07518795292542246,0.19199038181077765,20,-0.008905512969708986,0.1572734179168008,training_seed_or_data_batch,False
P-E,SA,mc_raw,128,False,q_coefficient_1,0.384755082918815,0.1689627493074281,20,0.31449683251908195,0.46112886816566817,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,source_steps_total,1012.0,0.0,20,1012.0,1012.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,source_steps_training,512.0,0.0,20,512.0,512.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,direction_error,0.0034534437400993456,0.004077038793661361,20,0.0018847218292208727,0.0052845257988380695,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,direction_norm,0.0645282150170774,0.02044733138339139,20,0.055528338061100316,0.07310539959920145,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,exact_score,0.06307455625990058,0.004077038793661364,20,0.06124347420116185,0.06464327817077903,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,validation_score,0.06259867727861564,0.019017742034152105,20,0.05427282931429215,0.07036971134435936,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,validation_score_variance,0.3258659362862458,0.11224254252175708,20,0.27802922498915594,0.3763875251139418,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,validation_gradient_trace_variance,3.819219666781291,0.45680871558403924,20,3.6234286646067932,4.019201142813557,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,fixed_oracle_q_score_variance,0.3461672554400973,0.04403229591403669,20,0.32772456795172644,0.3643420662012247,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,fixed_oracle_q_gradient_trace_variance,3.816574117969,0.4601598330563073,20,3.6262162709244112,4.020127993218905,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,curvature_min,0.8400000000000001,1.1390647892519134e-16,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
