condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J
mappo,41,80000,80000,20,0.49705845002731125,0.025,0.0,0.12150000000000001,0.060750000000000005,-61.7889139397134
mappo,41,120000,120000,20,0.8387274582053875,0.025,0.0,0.05950000000000002,0.02975000000000001,-69.39994430526488
mappo,41,160000,160000,20,0.6665656286725995,0.0125,0.0,0.05500000000000001,0.027500000000000004,-69.52249739847433
mappo,41,200000,200000,20,0.5600335820454607,0.0375,0.0,0.11150000000000002,0.05575000000000001,-65.91015020455526
mappo,42,0,0,20,0.8655022339772719,0.0125,0.0,0.06200000000000001,0.031000000000000007,-90.82514449645532
mappo,42,40000,40000,20,0.6218689867476193,0.0125,0.0,0.07450000000000001,0.037250000000000005,-69.41466002014836
mappo,42,80000,80000,20,0.5744656572175766,0.0375,0.0,0.09300000000000001,0.04650000000000001,-66.61349486645615
mappo,42,120000,120000,20,0.5474405090420524,0.05,0.0,0.0715,0.03575,-63.85802290626361
mappo,42,160000,160000,20,0.45740822971457895,0.05,0.0,0.066,0.033,-56.54486523553103
mappo,42,200000,200000,20,0.3223734960758221,0.075,0.0,0.08650000000000002,0.04325000000000001,-49.17790593273291
ippo,40,0,0,20,1.194585946816247,0.0,0.0,0.043500000000000004,0.021750000000000002,-97.31176882760461
ippo,40,40000,40000,20,0.5222432017659948,0.025,0.0,0.11100000000000002,0.05550000000000001,-67.44882381714318
ippo,40,80000,80000,20,0.4621915815703678,0.0375,0.0,0.11099999999999999,0.055499999999999994,-60.43478377295884
ippo,40,120000,120000,20,0.45879887695677884,0.05,0.0,0.14750000000000002,0.07375000000000001,-59.88316054429252
ippo,40,160000,160000,20,0.46330815190898605,0.1,0.0,0.10600000000000001,0.053000000000000005,-62.111696617199144
ippo,40,200000,200000,20,0.5634896127334321,0.0125,0.0,0.10200000000000001,0.051000000000000004,-67.14610450071007
ippo,41,0,0,20,0.8873663147660427,0.0,0.0,0.05900000000000001,0.029500000000000005,-97.97204577749847
ippo,41,40000,40000,20,0.5807943386405586,0.0,0.0,0.09,0.045,-69.19231091902553
ippo,41,80000,80000,20,0.44534917432143456,0.025,0.0,0.139,0.0695,-60.13857573694857
ippo,41,120000,120000,20,0.4475340662961475,0.0375,0.0,0.12050000000000001,0.060250000000000005,-57.91657054041515
ippo,41,160000,160000,20,0.40415309729120025,0.0625,0.0,0.12050000000000001,0.060250000000000005,-55.70634500136928
ippo,41,200000,200000,20,0.33939431160727446,0.075,0.0,0.1405,0.07025,-55.169633028689965
ippo,42,0,0,20,1.0706339622008065,0.0,0.0,0.053500000000000006,0.026750000000000003,-103.81084094103798
ippo,42,40000,40000,20,0.4967109298666796,0.0375,0.0,0.088,0.044,-65.84013559532875
ippo,42,80000,80000,20,0.4516839366774675,0.0125,0.0,0.1045,0.05225,-63.0439462990755
ippo,42,120000,120000,20,0.43334229136874053,0.0625,0.0,0.069,0.0345,-60.34808274689133
