target,kind,condition,metric,ci_method,count,mean,std,ci_low,ci_high
composition_0.3,paired_ours_minus_comparator,no_direction_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-5.788891588309752e-12,7.116397252237246e-12,-9.817880952667224e-12,-1.4975412576667702e-12
composition_0.3,method,no_return_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.5301505999931535,8.753882363630828e-13,0.5301505999926299,0.5301505999936531
composition_0.3,paired_ours_minus_comparator,no_return_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-2.4158253175698975e-11,5.8100772607403924e-12,-2.7639746047469772e-11,-2.085333600243544e-11
composition_0.3,method,fit_quarter,per_agent_return,seed_bootstrap_95_pointwise,10,0.5301505998261173,3.822945871507086e-11,0.5301505998030989,0.5301505998475096
composition_0.3,paired_ours_minus_comparator,fit_quarter,per_agent_return,paired_seed_bootstrap_95_pointwise,10,1.428778428902433e-10,3.314166913773551e-11,1.2452009229280136e-10,1.628271892317734e-10
composition_0.3,method,ours,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,3.100482093287837e-11,5.841279139290341e-12,2.770561557952078e-11,3.452731489606009e-11
composition_0.3,method,sampled,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,3.3072022898039676e-11,1.1579595530812196e-11,2.6944890763047624e-11,4.041810219845843e-11
composition_0.3,paired_ours_minus_comparator,sampled,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-2.067201965161303e-12,6.8419174089574986e-12,-6.527608731321522e-12,1.359958534674632e-12
composition_0.3,method,pg,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,0.0003872424698738164,1.917350788092155e-05,0.00037544178639020156,0.0003975671458343844
composition_0.3,paired_ours_minus_comparator,pg,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-0.00038724243886899544,1.9173506942413307e-05,-0.00039756711117850893,-0.0003754417544466615
